scientificName,specificEpithet,infraspecificEpithet,clade,north,center,south,elaiophore,pollinator_i,pollinator_ii,section,flower_type,ploidy,chromosome_number,habit,speciesAuthority,botanicalCountries
Calceolaria speciosa,speciosa,,2b,0,1,0,Absent,,,Engleriana,XIV,,,Vine,Pennell,"[""PER""]"
Calceolaria boliviana,boliviana,,2b,0,1,0,Absent,Pollen-bees,Pollen-bees,Engleriana,XIV,,,Shrub,(Britton ex Rusby) Pennell,"[""BOL"", ""PER""]"
Calceolaria cypripediiflora,cypripediiflora,,2b,0,1,0,Present,Pollen-bees,Pollen-bees,Lehmanniana,XIII,4,36,Herb,Kraenzl.,"[""PER""]"
Calceolaria vaccinioides,vaccinioides,,2b,0,1,0,Absent,,,Polyclada,VI,4,36,Vine,Kraenzl.,"[""BOL"", ""PER""]"
Calceolaria atahualpae subsp. atahualpae,atahualpae,atahualpae,2b,0,1,0,Present,,,Polyclada,V,4,36,Shrub,,"[""BOL"", ""PER""]"
Calceolaria inflexa,inflexa,,2b,0,1,0,Present,,,Polyclada,VII,,,Vine,Ruiz & Pav.,"[""PER""]"
Calceolaria vulpina,vulpina,,2b,0,1,0,Present,,,Lehmannina,II,,,Herb,Kraenzl.,"[""PER""]"
Calceolaria oblonga,oblonga,,2b,0,1,0,Present,Oil-bees,Chalepogenus,Lehmannina,XI,,,Herb,Ruiz & Pav.,"[""PER""]"
Calceolaria maculata,maculata,,2b,0,1,0,Present,Oil-bees,Centris,Urticopsis,VIII,4,36,Shrub,Edwin,"[""PER""]"
Calceolaria sparsiflora,sparsiflora,,2b,0,1,0,Present,Oil-bees,Centris,Parvifoliae,VIII,4,36,Shrub,Kunze,"[""BOL"", ""PER""]"
Calceolaria inamoena subsp. inamoena,inamoena,inamoena,2b,0,1,0,Present,Oil-bees,Centris,Parvifoliae,VII,2 & 4,18 & 72,Shrub,,"[""PER"", ""CLN""]"
Calceolaria flexuosa subsp. flexuosa,flexuosa,flexuosa,2b,0,1,0,Present,,,Urticopsis,IV,4,36,Shrub,,"[""PER""]"
Calceolaria flexuosa subsp. chrysocalyx,flexuosa,chrysocalyx,2b,0,1,0,Present,,,Urticopsis,IV,4,36,Shrub,(Pennell) Molau,"[""PER""]"
Calceolaria angustiflora,angustiflora,,2b,0,1,0,Present,,,Verticillatae,XII,4,36,Shrub,Ruiz & Pav.,"[""PER""]"
Calceolaria heterophylla,heterophylla,,2b,0,1,0,Present,,,Lehmanniana,X,,,Herb,Ruiz & Pav.,"[""PER""]"
